Numero de prueba,Seed centros:,Seed gasolineras,MaxKm,Beneficio,Nodos expandidos,Tiempo de ejecucion
0,1135,9917,900,93764,121,1708.09586
1,7474,6131,900,92256,117,2211.164523
2,8887,7929,900,94448,125,1665.947652
3,5580,2173,900,93176,118,1734.572542
4,6770,8179,900,94700,122,2043.82583
5,2785,7339,900,92716,110,1590.037004
6,448,336,900,94596,120,1797.647793
7,7234,7792,900,92424,122,1919.958515
8,2560,4925,900,94316,114,1750.959073
9,531,8246,900,91952,122,2284.095477
