Numero de prueba,Seed centros:,Seed gasolineras,MaxKm,Beneficio,Nodos expandidos,Tiempo de ejecucion
0,1135,9917,1000,93560,119,1828.116555
1,7474,6131,1000,92100,117,2145.975181
2,8887,7929,1000,94372,117,1621.568659
3,5580,2173,1000,93828,120,1922.49204
4,6770,8179,1000,95000,113,1882.679818
5,2785,7339,1000,92716,110,1602.32744
6,448,336,1000,94748,119,2133.324359
7,7234,7792,1000,92272,114,2206.876656
8,2560,4925,1000,94316,114,1813.726623
9,531,8246,1000,92088,112,2221.889998
