Numero de prueba,Seed centros:,Seed gasolineras,MaxKm,Beneficio,Nodos expandidos,Tiempo de ejecucion
0,1135,9917,400,90556,97,1269.046542
1,7474,6131,400,87956,106,954.279583
2,8887,7929,400,94488,115,890.872326
3,5580,2173,400,93056,105,826.266801
4,6770,8179,400,95368,114,1079.600114
5,2785,7339,400,92888,123,945.797394
6,448,336,400,94692,114,906.676731
7,7234,7792,400,90696,111,1099.228501
8,2560,4925,400,93996,114,996.1442
9,531,8246,400,85364,104,759.588737
