Numero de prueba,Seed centros:,Seed gasolineras,MaxKm,Beneficio,Nodos expandidos,Tiempo de ejecucion,Proporcion de peticiones servidas
0,216,398,8,70008,109,1169.9507,0.16666666666666666
1,6015,5690,8,64188,117,1266.1157,0.23076923076923078
2,6253,7980,8,77872,122,1526.7012,0.2125984251968504
3,661,8365,8,75528,117,1661.0847,0.27007299270072993
4,8181,7533,8,72252,102,1269.6424,0.2125984251968504
5,1409,9934,8,73216,109,1433.5707,0.21875
6,6359,9165,8,73156,110,1452.5981,0.18032786885245902
7,9855,5649,8,73060,103,1258.246,0.18032786885245902
8,8985,7550,8,75680,107,1303.6174,0.13793103448275862
9,8889,8826,8,77188,115,1733.2857,0.24242424242424243
