Numero de prueba,Seed centros:,Seed gasolineras,MaxKm,Beneficio,Nodos expandidos,Tiempo de ejecucion,Proporcion de peticiones servidas
0,216,398,2,92528,108,1673.7469,0.16666666666666666
1,6015,5690,2,90072,109,1156.6381,0.23846153846153847
2,6253,7980,2,94732,116,1402.5185,0.2125984251968504
3,661,8365,2,94096,112,1606.8042,0.27007299270072993
4,8181,7533,2,93444,107,1316.3992,0.2125984251968504
5,1409,9934,2,94180,116,1545.5229,0.21875
6,6359,9165,2,93280,113,1380.5022,0.18032786885245902
7,9855,5649,2,93916,112,1304.4497,0.18032786885245902
8,8985,7550,2,94348,118,1342.3568,0.13793103448275862
9,8889,8826,2,94200,111,1651.6034,0.24242424242424243
