Numero de prueba,Seed centros:,Seed gasolineras,Steps,Stiter,K,Lamb,Beneficio,Nodos expandidos,Tiempo de ejecucion
0,1955,6751,2500,2500,64,2.0E-4,90136,2501,21006.532424
1,2601,2788,2500,2500,64,2.0E-4,90300,2501,22101.970173
2,3865,1385,2500,2500,64,2.0E-4,90504,2501,24957.553765
3,6472,8623,2500,2500,64,2.0E-4,91092,2501,24015.574908
4,1249,8247,2500,2500,64,2.0E-4,87988,2501,20942.827578
5,9537,5230,2500,2500,64,2.0E-4,90232,2501,22895.387962
6,8917,5599,2500,2500,64,2.0E-4,90324,2501,23091.076894
7,2711,7655,2500,2500,64,2.0E-4,89880,2501,22292.780875
8,5546,5003,2500,2500,64,2.0E-4,91152,2501,24060.345019
9,5429,2664,2500,2500,64,2.0E-4,91476,2501,24796.969807
