Numero de prueba,Seed centros:,Seed gasolineras,Steps,Stiter,K,Lamb,Beneficio,Nodos expandidos,Tiempo de ejecucion
0,1955,6751,2500,2500,96,0.002,88380,2501,20185.579397
1,2601,2788,2500,2500,96,0.002,88348,2501,21802.460679
2,3865,1385,2500,2500,96,0.002,89184,2501,25812.566042
3,6472,8623,2500,2500,96,0.002,90652,2501,23193.557784
4,1249,8247,2500,2500,96,0.002,87948,2501,20792.100751
5,9537,5230,2500,2500,96,0.002,88956,2501,20255.168349
6,8917,5599,2500,2500,96,0.002,89712,2501,26575.849205
7,2711,7655,2500,2500,96,0.002,89656,2501,23505.183543
8,5546,5003,2500,2500,96,0.002,90236,2501,24810.41977
9,5429,2664,2500,2500,96,0.002,89716,2501,24065.821894
