Numero de prueba,Seed centros:,Seed gasolineras,Steps,Stiter,K,Lamb,Beneficio,Nodos expandidos,Tiempo de ejecucion
0,1955,6751,2500,2500,64,2.0E-5,88936,2501,20640.50609
1,2601,2788,2500,2500,64,2.0E-5,89964,2501,23101.687718
2,3865,1385,2500,2500,64,2.0E-5,90208,2501,25561.590599
3,6472,8623,2500,2500,64,2.0E-5,90324,2501,23654.014682
4,1249,8247,2500,2500,64,2.0E-5,88088,2501,21344.454262
5,9537,5230,2500,2500,64,2.0E-5,88996,2501,21666.850543
6,8917,5599,2500,2500,64,2.0E-5,89620,2501,24093.435895
7,2711,7655,2500,2500,64,2.0E-5,90216,2501,22201.870754
8,5546,5003,2500,2500,64,2.0E-5,89068,2501,25356.203072
9,5429,2664,2500,2500,64,2.0E-5,90908,2501,24641.438908
