Numero de prueba,Seed centros:,Seed gasolineras,Steps,Stiter,K,Lamb,Beneficio,Nodos expandidos,Tiempo de ejecucion
0,1955,6751,2500,2500,64,0.002,90200,2501,21821.535031
1,2601,2788,2500,2500,64,0.002,90708,2501,23441.399654
2,3865,1385,2500,2500,64,0.002,89904,2501,24601.861164
3,6472,8623,2500,2500,64,0.002,90224,2501,24681.612726
4,1249,8247,2500,2500,64,0.002,90096,2501,20591.592071
5,9537,5230,2500,2500,64,0.002,90220,2501,23281.48281
6,8917,5599,2500,2500,64,0.002,91276,2501,23472.879206
7,2711,7655,2500,2500,64,0.002,90064,2501,22996.167647
8,5546,5003,2500,2500,64,0.002,88960,2501,24393.121969
9,5429,2664,2500,2500,64,0.002,90992,2501,24734.927813
