Numero de prueba,Seed centros:,Seed gasolineras,Steps,Stiter,K,Lamb,Beneficio,Nodos expandidos,Tiempo de ejecucion
0,1955,6751,2500,2500,128,2.0E-5,89444,2501,22501.588819
1,2601,2788,2500,2500,128,2.0E-5,87284,2501,20692.415108
2,3865,1385,2500,2500,128,2.0E-5,88656,2501,23577.667885
3,6472,8623,2500,2500,128,2.0E-5,89928,2501,23615.895912
4,1249,8247,2500,2500,128,2.0E-5,88344,2501,20165.506721
5,9537,5230,2500,2500,128,2.0E-5,87280,2501,22104.924437
6,8917,5599,2500,2500,128,2.0E-5,89648,2501,23121.659705
7,2711,7655,2500,2500,128,2.0E-5,88852,2501,22170.076939
8,5546,5003,2500,2500,128,2.0E-5,86796,2501,23501.161929
9,5429,2664,2500,2500,128,2.0E-5,90388,2501,24302.83322
