Numero de prueba,Seed centros:,Seed gasolineras,Steps,Stiter,K,Lamb,Beneficio,Nodos expandidos,Tiempo de ejecucion
0,1955,6751,2500,2500,96,2.0E-5,88384,2501,20200.497772
1,2601,2788,2500,2500,96,2.0E-5,89964,2501,21337.429235
2,3865,1385,2500,2500,96,2.0E-5,89720,2501,24635.122556
3,6472,8623,2500,2500,96,2.0E-5,90092,2501,23090.295441
4,1249,8247,2500,2500,96,2.0E-5,88108,2501,20804.626745
5,9537,5230,2500,2500,96,2.0E-5,88272,2501,22016.261945
6,8917,5599,2500,2500,96,2.0E-5,88868,2501,24435.931211
7,2711,7655,2500,2500,96,2.0E-5,89352,2501,22831.863476
8,5546,5003,2500,2500,96,2.0E-5,90000,2501,25453.051987
9,5429,2664,2500,2500,96,2.0E-5,89084,2501,24450.338274
