Numero de prueba,Seed centros:,Seed gasolineras,Steps,Stiter,K,Lamb,Beneficio,Nodos expandidos,Tiempo de ejecucion
0,1955,6751,2500,2500,96,2.0E-4,89080,2501,20312.626082
1,2601,2788,2500,2500,96,2.0E-4,90140,2501,21242.544396
2,3865,1385,2500,2500,96,2.0E-4,90172,2501,24990.625772
3,6472,8623,2500,2500,96,2.0E-4,90112,2501,23940.37963
4,1249,8247,2500,2500,96,2.0E-4,88404,2501,20898.92367
5,9537,5230,2500,2500,96,2.0E-4,88392,2501,22139.677232
6,8917,5599,2500,2500,96,2.0E-4,90140,2501,24240.686951
7,2711,7655,2500,2500,96,2.0E-4,89632,2501,23045.337301
8,5546,5003,2500,2500,96,2.0E-4,90420,2501,25096.200798
9,5429,2664,2500,2500,96,2.0E-4,90304,2501,23695.826125
