Numero de prueba,Seed centros:,Seed gasolineras,Steps,Stiter,K,Lamb,Beneficio,Nodos expandidos,Tiempo de ejecucion
0,1955,6751,2500,2500,128,2.0E-4,87984,2501,19931.535039
1,2601,2788,2500,2500,128,2.0E-4,88048,2501,22353.476779
2,3865,1385,2500,2500,128,2.0E-4,89228,2501,24499.070775
3,6472,8623,2500,2500,128,2.0E-4,89700,2501,22923.087512
4,1249,8247,2500,2500,128,2.0E-4,87904,2501,20439.911242
5,9537,5230,2500,2500,128,2.0E-4,88296,2501,20722.079914
6,8917,5599,2500,2500,128,2.0E-4,89816,2501,24121.525046
7,2711,7655,2500,2500,128,2.0E-4,89212,2501,23392.152494
8,5546,5003,2500,2500,128,2.0E-4,89880,2501,24139.13602
9,5429,2664,2500,2500,128,2.0E-4,89596,2501,24374.78802
