Numero de prueba,Seed centros:,Seed gasolineras,Steps,Stiter,K,Lamb,Beneficio,Nodos expandidos,Tiempo de ejecucion
0,7311,7704,2500,500,16,2.0E-4,92740,2501,23242.353599
1,3959,6678,2500,500,16,2.0E-4,92692,2501,22518.2705
2,2995,8582,2500,500,16,2.0E-4,91272,2501,21460.7829
3,6029,3805,2500,500,16,2.0E-4,92796,2501,22075.7805
