Numero de prueba,Seed centros:,Seed gasolineras,Steps,Stiter,K,Lamb,Beneficio,Nodos expandidos,Tiempo de ejecucion
0,7311,7704,2500,500,16,2.0E-4,266356,2501,869522.0711
1,3959,6678,2500,500,16,2.0E-4,267740,2501,786680.0245
2,2995,8582,2500,500,16,2.0E-4,271220,2501,890201.3971
3,6029,3805,2500,500,16,2.0E-4,261640,2501,786409.0985
