Número de prueba,Seed centros:,Seed gasolineras,Steps,Stiter,K,Lamb,Beneficio,Nodos expandidos,Tiempo de ejecución (ms)
0,7184,785,1000,100,4,0.002,89828,1001,8619.042537
1,9686,9736,1000,100,4,0.002,89380,1001,8540.576728
2,6520,1904,1000,100,4,0.002,90184,1001,9409.904242
3,7526,7964,1000,100,4,0.002,89476,1001,9411.41082
4,5530,6435,1000,100,4,0.002,87628,1001,7928.59424
5,608,1732,1000,100,4,0.002,88524,1001,8732.324442
6,4871,9351,1000,100,4,0.002,88416,1001,9321.640369
7,1487,5811,1000,100,4,0.002,91636,1001,8962.43768
8,6962,3285,1000,100,4,0.002,90308,1001,8366.811964
9,6564,9152,1000,100,4,0.002,91192,1001,9079.167914
