Número de prueba,Seed centros:,Seed gasolineras,Steps,Stiter,K,Lamb,Beneficio,Nodos expandidos,Tiempo de ejecución (ms)
0,6556,3600,10000,100,4,0.002,92088,10001,107511.589879
1,690,9047,10000,100,4,0.002,92128,10001,100081.542561
2,4461,6658,10000,100,4,0.002,92888,10001,104445.497112
3,796,3011,10000,100,4,0.002,91916,10001,108757.821534
4,5902,2352,10000,100,4,0.002,92236,10001,103535.825634
5,1767,6334,10000,100,4,0.002,93204,10001,114433.349268
6,4163,6390,10000,100,4,0.002,92124,10001,106256.910744
7,7076,5023,10000,100,4,0.002,93692,10001,105705.017196
8,7030,1387,10000,100,4,0.002,93956,10001,106328.399468
9,9734,8179,10000,100,4,0.002,93960,10001,100307.777256
