Número de prueba,Seed centros:,Seed gasolineras,Steps,Stiter,K,Lamb,Beneficio,Nodos expandidos,Tiempo de ejecución (ms)
0,7317,4073,5000,100,4,0.002,92788,5001,48747.925111
1,5216,9394,5000,100,4,0.002,93144,5001,47403.59043
2,7145,9873,5000,100,4,0.002,91532,5001,47547.32976
3,3788,1247,5000,100,4,0.002,92392,5001,49351.510859
4,4889,139,5000,100,4,0.002,92296,5001,52790.824096
5,9064,1293,5000,100,4,0.002,92100,5001,48414.702491
6,2969,1564,5000,100,4,0.002,91036,5001,43959.240224
7,3848,9016,5000,100,4,0.002,93148,5001,45476.248644
8,8551,8359,5000,100,4,0.002,91796,5001,51153.205304
9,5522,9282,5000,100,4,0.002,92832,5001,47889.048646
