Número de prueba,Seed centros:,Seed gasolineras,Beneficio,Nodos expandidos,Tiempo de ejecución (ms)
0,6060,5441,78176,47,353.640421
1,1110,4316,81760,46,182.27323
2,3751,6287,79160,45,319.648633
3,3726,5787,83104,48,227.95465
4,9942,6094,83204,46,394.599201
5,5159,9844,82968,50,247.316688
6,4416,5073,79280,46,227.909203
7,4471,4387,82196,47,288.376268
8,1585,4445,81268,49,246.650686
9,122,2554,75988,45,189.778876
