Número de prueba,Seed centros:,Seed gasolineras,Beneficio,Nodos expandidos,Tiempo de ejecución (ms)
0,6060,5441,93072,121,1345.649599
1,1110,4316,94772,111,1422.514807
2,3751,6287,94336,111,1796.384637
3,3726,5787,94072,109,1514.736781
4,9942,6094,93156,112,1592.809621
5,5159,9844,93000,110,1960.924678
6,4416,5073,94328,119,2031.190555
7,4471,4387,93824,112,1687.051818
8,1585,4445,93852,111,1499.419076
9,122,2554,93636,118,1086.929848
