Número de prueba,Seed centros:,Seed gasolineras,Beneficio,Nodos expandidos,Tiempo de ejecución (ms)
0,6060,5441,39548,32,156.112461
1,1110,4316,43480,33,214.49327
2,3751,6287,43028,30,119.885655
3,3726,5787,42184,29,121.102847
4,9942,6094,43784,28,105.627346
5,5159,9844,40128,31,102.799147
6,4416,5073,40100,29,86.34963
7,4471,4387,43440,36,140.978112
8,1585,4445,39136,31,124.717753
9,122,2554,38568,25,93.929813
