Número de prueba,Seed centros:,Seed gasolineras,Beneficio,Nodos expandidos,Tiempo de ejecución (ms)
0,6060,5441,93072,121,1547.604918
1,1110,4316,94772,111,1238.254484
2,3751,6287,94336,111,1505.052538
3,3726,5787,94072,109,1579.333001
4,9942,6094,93156,112,1401.858389
5,5159,9844,93000,110,1597.59513
6,4416,5073,94328,119,1738.459338
7,4471,4387,93824,112,1455.00584
8,1585,4445,93852,111,1366.443449
9,122,2554,93636,118,1280.984777
