Número de prueba,Seed centros:,Seed gasolineras,Steps,Stiter,K,Lamb,Beneficio,Nodos expandidos,Tiempo de ejecución
0,9578,8107,2500,200,4,0.002,89164,2501,23404.221245
1,2341,6459,2500,200,4,0.002,92948,2501,25506.399932
2,8535,3177,2500,200,4,0.002,91968,2501,25055.887147
3,3423,5887,2500,200,4,0.002,91960,2501,25257.004185
4,6726,559,2500,200,4,0.002,92276,2501,29188.497973
5,5164,2128,2500,200,4,0.002,92816,2501,25227.994172
6,7171,2485,2500,200,4,0.002,91360,2501,24303.23598
7,7549,9724,2500,200,4,0.002,92516,2501,22631.681901
8,804,1069,2500,200,4,0.002,92568,2501,25624.620121
9,6011,6552,2500,200,4,0.002,91308,2501,23562.93751
