Número de prueba,Seed centros:,Seed gasolineras,Beneficio,Nodos expandidos,Tiempo de ejecución (ms)
0,1646,9579,93036,107,1090.116117
1,5761,6012,93040,97,928.963409
2,5906,2956,94764,109,1129.326826
3,3005,9796,93700,111,1023.641306
4,4982,3544,94852,101,1299.819815
5,5433,6024,93892,113,1076.262162
6,3494,2909,95248,111,1160.997231
7,1156,5467,93792,110,1107.695887
8,3555,607,93932,110,1028.063452
9,530,67,94992,104,1182.348258
