Numero de prueba,Seed centros:,Seed gasolineras,Beneficio,Nodos expandidos,Tiempo de ejecucion,Km recorridos
0,9062,4255,94008,105,1461.404,2876
1,6711,1196,94060,120,1410.2802,2810
2,9528,2010,94508,119,1564.0391,3116
3,1810,408,94332,106,1393.9453,3124
4,3691,983,94172,112,1168.061,3124
5,2426,7890,93508,115,1297.5362,3456
6,9963,1140,93916,107,1317.8937,3022
7,5204,7976,92744,103,1296.3239,3638
8,7056,439,93740,108,1292.6988,3210
9,5631,9859,93656,108,1203.2291,3322
